Engine Speed (rpm),Nitrogen Oxides,BIODIESEL_BLEND,Oxide_of_nitrogen,BIODIESEL BLEND
3050,,,26.346950431034447, B10
3100,,,26.89758620689652, B10
3150,,,27.52542025862067, B10
3200,,,28.241896551724125, B10
3250,,,29.058459051724128, B10
3300,,,29.986551724137932, B10
3350,,,31.037618534482768, B10
3400,,,32.22310344827588, B10
3450,,,33.55445043103452, B10
3500,,,35.0431034482759, B10
1500,,,4.91379310344827, B00
1550,,,5.34809806034483, B00
1600,,,5.871206896551731, B00
1650,,,6.473970905172424, B00
1700,,,7.147241379310358, B00
1750,,,7.881869612068979, B00
1800,,,8.668706896551734, B00
1850,,,9.49860452586208, B00
1900,,,10.362413793103453, B00
1950,,,11.250985991379311, B00
2000,,,12.1551724137931, B00
2050,,,13.065824353448264, B00
2100,,,13.973793103448259, B00
2150,,,14.869929956896526, B00
2200,,,15.745086206896524, B00
2250,,,16.590113146551687, B00
2300,,,17.395862068965474, B00
2350,,,18.15318426724133, B00
2400,,,18.852931034482705, B00
2450,,,19.485953663793047, B00
2500,,,20.0431034482758, B00
2550,,,20.51882004310339, B00
2600,,,20.921896551724075, B00
2650,,,21.264714439655105, B00
2700,,,21.55965517241373, B00
2750,,,21.819100215517178, B00
2800,,,22.0554310344827, B00
2850,,,22.28102909482753, B00
2900,,,22.508275862068913, B00
2950,,,22.749552801724086, B00
3000,,,23.0172413793103, B00
3050,,,23.32372306034479, B00
3100,,,23.68137931034479, B00
3150,,,24.102591594827558, B00
3200,,,24.59974137931032, B00
3250,,,25.185210129310317, B00
3300,,,25.871379310344807, B00
3350,,,26.670630387931013, B00
3400,,,27.59534482758619, B00
3450,,,28.657904094827572, B00
3500,,,29.8706896551724, B00
